%time sig_1 sig_2 sig_3
0.000216 0.261523039375 0.0193974166166 0
0.000217 -0.436802660325 0.0187269880974 1
0.000218 0.359123611287 0.0183664197899 0
0.000219 0.0405446977907 0.0195030443831 1
0.00022 0.0245382780705 0.0195847107775 0
0.000221 0.600112239143 0.0214182935163 1
0.000222 0.402883083791 0.0244252744382 0
0.000223 -0.319218983882 0.0245343019144 1
0.000224 0.00462344801368 0.0233953953054 1
0.000225 0.375962418876 0.0244407593568 1
0.000226 0.66324041701 0.0275422020619 0
0.000227 -0.342461067964 0.0283742932574 1
0.000228 -0.466388667564 0.025663452286 0
0.000229 0.0963659088863 0.0243438888103 0
0.00023 0.678013817083 0.026616577442 0
0.000231 -0.00269010254054 0.0285648120147 1
0.000232 0.538782096803 0.0300648043136 0
0.000233 -0.216846456013 0.0308847163912 1
0.000234 0.0646254494339 0.0302145509856 1
0.000235 0.534105441431 0.0319003797438 1
0.000236 -0.0636452007656 0.0331739371837 0
0.000237 0.105735678589 0.033097968986 1
0.000238 -0.640692961195 0.0312153050079 0
0.000239 -0.477456950824 0.0275180172849 1
0.00024 0.202346709935 0.0264840803798 0
0.000241 -0.42029585907 0.0256356340222 0
0.000242 0.232362524394 0.0248865040608 0
0.000243 0.130688964064 0.0258676151816 1
0.000244 -0.531569227852 0.0244501348162 0
0.000245 0.634266722388 0.0246186144883 1
0.000246 0.148674731154 0.0269163955978 0
0.000247 -0.110544045928 0.0268672204653 1
0.000248 0.0755111324282 0.0265892229517 1
0.000249 -0.412689526257 0.0253667213737 1
0.00025 -0.159921391716 0.0234145602046 0
0.000251 0.550058239068 0.0244897155373 1
0.000252 0.5297999859 0.0277181742807 0
0.000253 -0.213215521615 0.0285360259258 1
0.000254 0.120879841845 0.0280681176709 0
0.000255 0.164271313529 0.0287853360533 1
0.000256 -0.401080658987 0.027863410268 0
0.000257 -0.019061299942 0.0263731063342 1
0.000258 0.0305011727167 0.0262437450408 0
0.000259 -0.253053102518 0.0253823892488 1
0.00026 0.273973355309 0.0252889235373 0
0.000261 0.133783520636 0.0264075203748 1
0.000262 -0.0593453223231 0.0264752387841 0
0.000263 0.305083686443 0.027079003011 1
0.000264 0.0620789341254 0.0280592564516 0
0.000265 -0.267976978277 0.0272386850618 1
0.000266 -0.159376305366 0.0257297100046 0
0.000267 0.138500390324 0.0255031735328 1
0.000268 -0.143291654332 0.0253284291434 0
0.000269 -0.171036041237 0.0241853873221 1
0.00027 0.0558313039429 0.0236731090651 0
0.000271 -0.786503109325 0.0212365480403 0
0.000272 -0.1697026642 0.0181089315373 0
0.000273 -0.0575065721604 0.0172839426759 1
0.000274 0.0895326988997 0.0172759825133 0
0.000275 -0.154992853142 0.0169627691629 1
0.000276 0.228011017381 0.0170851976489 0
0.000277 -0.170333844085 0.0171588150939 1
0.000278 -0.345432390753 0.0154360877722 0
0.000279 0.382814789775 0.0154564761903 1
0.00028 0.253701372157 0.017353076439 1
0.000281 -0.0456708889845 0.0178958855965 1
0.000282 0.192931993823 0.0182449801234 0
0.000283 0.366829866251 0.019883738967 1
0.000284 0.195226111629 0.0215194180441 0
0.000285 0.325962002204 0.0230168639374 1
0.000286 0.161432808305 0.024399098255 0
0.000287 0.0384825477714 0.0248723600176 1
0.000288 -0.124452339432 0.0244473355584 0
0.000289 0.0402176688197 0.0240304072155 1
0.00029 -0.0674830319643 0.0237945041607 0
0.000291 0.098893876138 0.0237438381311 1
0.000292 0.803284954386 0.0264205205366 0
0.000293 0.257165922605 0.0295761066287 1
0.000294 0.234341543948 0.0309301369047 0
0.000295 -0.430630240951 0.0301216778435 1
0.000296 0.00873346586341 0.0286117335804 0
0.000297 0.177390480449 0.0290154181662 1
0.000298 -0.457825646172 0.0279554259245 0
0.000299 -0.264109167037 0.025519404684 1
0.0003 0.432377639907 0.0258865391467 0
0.000301 -0.129888535963 0.0266717200525 0
0.000302 0.391437402586 0.0273237682211 0
0.000303 -0.23866907514 0.0276310583967 1
0.000304 -0.355776170711 0.025596334792 0
0.000305 0.338851784686 0.0253830089335 1
0.000306 -0.388923618903 0.025067209591 0
0.000307 0.0291475360896 0.0237834707538 1
0.000308 -0.271375435249 0.0228759046145 0
0.000309 -0.251101228033 0.0210963528464 0
0.00031 0.278457972943 0.0210498902675 0
0.000311 0.0402132171325 0.0219160438741 1
0.000312 -0.438766561419 0.0205306015462 0
0.000313 -0.0628211676233 0.018831158605 1
0.000314 -0.325284797893 0.0174977571002 1
0.000315 0.422054027005 0.0176912171764 1
0.000316 -0.0198906191304 0.0188398849421 0
0.000317 -0.437481791006 0.0172895033177 1
0.000318 -0.0852063225111 0.0155442798083 0
0.000319 0.481057335479 0.0166866260655 0
0.00032 0.039149174934 0.0182112680492 0
0.000321 -0.04782931872 0.0180700175529 1
0.000322 0.166505055813 0.0183284990643 0
0.000323 0.0496195687571 0.0188905475138 1
0.000324 -0.0483745879776 0.0187761253934 1
0.000325 -0.252365550546 0.0177166768641 1
0.000326 0.299901016047 0.0177545777005 0
0.000327 0.0688156035753 0.0187981014956 0
0.000328 -0.335358557343 0.0178456124875 0
0.000329 -0.475144364517 0.0151955406186 1
0.00033 0.363030257645 0.0147492494317 1
0.000331 0.0854038220643 0.0160612525953 0
0.000332 -0.224445167169 0.0155252095296 1
0.000333 -0.278467589554 0.0138529682402 0
0.000334 0.123690249547 0.0132814755167 1
0.000335 0.646055833186 0.0156089422312 0
0.000336 -0.0481273614707 0.0173837403561 1
0.000337 0.100900923913 0.0174401309738 0
0.000338 -0.177776298033 0.0170901398182 1
0.000339 -0.146318546498 0.0159681102799 0
0.00034 -0.053555157969 0.0152421386296 1
0.000341 -0.567753983042 0.0132008820119 0
0.000342 -0.336368436658 0.0102867092162 1
0.000343 0.329446321137 0.0102005999689 0
0.000344 0.034812011376 0.0112774759049 1
0.000345 -0.529917041677 0.00965629220688 1
0.000346 0.304932689657 0.00889121430919 1
0.000347 0.310674482777 0.010763454317 0
0.000348 0.393956683368 0.0129027687795 1
0.000349 0.393664486695 0.0152885879021 0
0.00035 -0.0746212410782 0.0161919926581 1
0.000351 0.38575590993 0.0170649712147 0
0.000352 0.00817388129547 0.0181917758153 1
0.000353 0.08903767707 0.0183822741662 1
0.000354 0.440921272017 0.019926837683 1
0.000355 0.0954153081668 0.0214816999854 0
0.000356 0.026176753961 0.0217279456094 1
0.000357 0.456102314831 0.0231022318328 0
0.000358 -0.20606539229 0.0237405849427 1
0.000359 0.222441406616 0.0236431712487 0
0.00036 -0.324321196504 0.0231760196231 1
0.000361 -0.0998471999207 0.0217024653862 0
0.000362 -0.0488046566211 0.0211009907823 1
0.000363 -0.28627932181 0.0199194239837 0
0.000364 0.0486237591507 0.0190503797647 0
0.000365 -0.484156595859 0.0175670758749 0
0.000366 -0.240383014997 0.0151879645618 1
0.000367 0.26482177841 0.0151693708196 0
0.000368 0.150189898252 0.0163740718065 1
0.000369 0.463950812233 0.0181948502792 1
0.00037 0.138638848917 0.019968049247 1
0.000371 0.424972168054 0.0216080702458 0
0.000372 0.228889677885 0.023520462351 1
0.000373 -0.0649807625843 0.0238864641432 0
0.000374 -0.345723718417 0.0224506257018 1
0.000375 -0.308490390151 0.0202611684059 0
0.000376 0.087913193926 0.0194434689098 0
0.000377 -0.121325621251 0.0192170450868 0
0.000378 0.073820543582 0.0189479047577 1
0.000379 0.238091410416 0.0198060559029 0
0.00038 -0.400393761068 0.0191737094858 1
0.000381 -0.220979992367 0.0171076250927 1
0.000382 0.0494271993261 0.0164632102088 1
0.000383 0.282513916159 0.0173996506637 0
0.000384 0.240998523133 0.0189301799681 1
0.000385 -0.783666714488 0.0171121073796 0
0.000386 -0.231776082911 0.0138248085593 1
0.000387 -0.482017419694 0.0115027911342 0
0.000388 -0.121003264098 0.00954223089745 1
0.000389 0.52454511313 0.0107462568418 0
0.00039 -0.0202238583054 0.012258357663 1
0.000391 -0.184123139468 0.0115416128236 0
0.000392 -0.192503648888 0.0102898194051 1
0.000393 0.338698820651 0.0106832163476 0
0.000394 0.137474860323 0.0121075607477 0
0.000395 -0.0421184013811 0.0123303579129 0
0.000396 0.188318444815 0.0127109891832 1
0.000397 -0.12440750445 0.0128315271423 0
0.000398 0.0818473794351 0.0126178689305 1
0.000399 0.372490033938 0.0139617098013 0
0.0004 -0.667210114419 0.0129512697428 1
0.000401 -0.20406729948 0.0101415228724 0
0.000402 0.562455767908 0.0112003858682 1
0.000403 0.00478089248754 0.0129066778192 0
0.000404 -0.193553967261 0.0122346459163 1
0.000405 0.579547746015 0.0133668516593 1
0.000406 -0.384704035539 0.0138933308397 1
0.000407 -0.373989783607 0.0114302674807 0
0.000408 0.166764369743 0.0107096948997 1
0.000409 -0.0461235043337 0.0110204321487 0
0.00041 0.0567112340128 0.010984563749 1
0.000411 -0.346468178487 0.0100083143891 0
0.000412 -0.0618607480142 0.00866684150085 0
0.000413 0.211876076553 0.00908236776947 0
0.000414 -0.101204232486 0.00937207727278 1
0.000415 -0.0533732039669 0.0088292766941 0
0.000416 0.0279299465332 0.00869429242744 1
